Restaurant,Location,Theme Park,Breakfast Price,Lunch/Dinner Price,Vegetarian Options,Type Of Service,Established
Pym Tasting Lab,Avengers Campus,Disney California Adventure,$$,$$,Yes,Bar/Lounge,2021
Pym Test Kitchen,Avengers Campus,Disney California Adventure,$$,$$,Yes,Quick Service,"June 4, 2021"
Shawarma PalaceUpdated,Avengers Campus,Disney California Adventure,$,$,Yes,Snack Cart,"June 4, 2021"
Terran Treats,Avengers Campus,Disney California Adventure,$,$,Yes,Snack Cart,"June 4, 2021"
Carthay Circle,Buena Vista Street,Disney California Adventure,$$$,$$$,Yes,Table Service,"June 15, 2012"
Carthay Circle Lounge,Buena Vista Street,Disney California Adventure,$$$,$$$,Yes,Bar/Lounge,"June 15, 2012"
Clarabelle's Hand-Scooped Ice Cream,Buena Vista Street,Disney California Adventure,$,$,Yes,Quick Service,"June 15, 2012"
"Fiddler, Fifer and Practical Cafe",Buena Vista Street,Disney California Adventure,$,$,Yes,Quick Service,"June 15, 2012"
Cozy Cones,Cars Land,Disney California Adventure,N/A,$,Yes,Quick Service,"June 13, 2012"
Fillmore's Taste-In,Cars Land,Disney California Adventure,$,$,Yes,Kiosk,"June 13, 2012"
Flo's V-8 Cafe,Cars Land,Disney California Adventure,N/A,$,Yes,Quick Service,"June 13, 2012"
Smokejumpers Grill,Grizzly Peak,Disney California Adventure,$,$,Yes,Quick Service,"March 20, 2015"
Award Wieners,Hollywood Land,Disney California Adventure,N/A,$,Yes,Quick Service,"February 8, 2001"
Fairfax Market (DCA),Hollywood Land,Disney California Adventure,$,$,Yes,Kiosk,"February 8, 2001"
Hollywood Lounge,Hollywood Land,Disney California Adventure,$,$,Yes,Snack Cart,"February 8, 2001"
Schmoozies,Hollywood Land,Disney California Adventure,$,$,Yes,Kiosk,"February 8, 2001"
Studio Catering Co.,Hollywood Land,Disney California Adventure,N/A,$,No,Kiosk,"February 8, 2001"
Bayside Brews,Paradise Gardens Park,Disney California Adventure,N/A,$,Yes,Quick Service,"July 1, 2011"
Boardwalk Pizza and Pasta,Paradise Gardens Park,Disney California Adventure,N/A,$,Yes,Quick Service,"February 8, 2001"
Corn Dog Castle,Paradise Gardens Park,Disney California Adventure,$,$,Yes,Kiosk,"February 8, 2001"
Paradise Garden Grill,Paradise Gardens Park,Disney California Adventure,N/A,$,Yes,Quick Service,"July 1, 2011"
Magic Key Terrace,Performance Corridor,Disney California Adventure,N/A,$$,Yes,Table Service,"August 25, 2021"
