Restaurant,Location,Theme Park,Breakfast Price,Lunch/Dinner Price,Vegetarian Options,Type Of Service,Established
Pym Tasting Lab,Avengers Campus,Disney California Adventure,$$,$$,Yes,Bar/Lounge,2021
Pym Test Kitchen,Avengers Campus,Disney California Adventure,$$,$$,Yes,Quick Service,2021
Shawarma PalaceUpdated,Avengers Campus,Disney California Adventure,$,$,Yes,Snack Cart,2021
Terran Treats,Avengers Campus,Disney California Adventure,$,$,Yes,Snack Cart,2021
Carthay Circle,Buena Vista Street,Disney California Adventure,$$$,$$$,Yes,Table Service,2012
Carthay Circle Lounge,Buena Vista Street,Disney California Adventure,$$$,$$$,Yes,Bar/Lounge,2012
Clarabelle's Hand-Scooped Ice Cream,Buena Vista Street,Disney California Adventure,$,$,Yes,Quick Service,2012
"Fiddler, Fifer and Practical Cafe",Buena Vista Street,Disney California Adventure,$,$,Yes,Quick Service,2012
Cozy Cones,Cars Land,Disney California Adventure,,$,Yes,Quick Service,2012
Fillmore's Taste-In,Cars Land,Disney California Adventure,$,$,Yes,Kiosk,2012
Flo's V-8 Cafe,Cars Land,Disney California Adventure,,$,Yes,Quick Service,2012
Smokejumpers Grill,Grizzly Peak,Disney California Adventure,$,$,Yes,Quick Service,2015
Award Wieners,Hollywood Land,Disney California Adventure,,$,Yes,Quick Service,2001
Fairfax Market (DCA),Hollywood Land,Disney California Adventure,$,$,Yes,Kiosk,2001
Hollywood Lounge,Hollywood Land,Disney California Adventure,$,$,Yes,Snack Cart,2001
Schmoozies,Hollywood Land,Disney California Adventure,$,$,Yes,Kiosk,2001
Studio Catering Co.,Hollywood Land,Disney California Adventure,,$,No,Kiosk,2001
Bayside Brews,Paradise Gardens Park,Disney California Adventure,,$,Yes,Quick Service,2011
Boardwalk Pizza and Pasta,Paradise Gardens Park,Disney California Adventure,,$,Yes,Quick Service,2001
Corn Dog Castle,Paradise Gardens Park,Disney California Adventure,$,$,Yes,Kiosk,2001
Paradise Garden Grill,Paradise Gardens Park,Disney California Adventure,,$,Yes,Quick Service,2011
Magic Key Terrace,Performance Corridor,Disney California Adventure,,$$,Yes,Table Service,2021
Mendocino Terrace,Performance Corridor,Disney California Adventure,$$,$$,Yes,Quick Service,2021
Sonoma Terrace,Performance Corridor,Disney California Adventure,$,$,Yes,Quick Service,2001
Wine Country Trattoria,Performance Corridor,Disney California Adventure,,$$,Yes,Table Service,2001
Adorable Snowman Frosted Treats,Pixar Pier,Disney California Adventure,$,$,Yes,Kiosk,2018
Angry Dogs,Pixar Pier,Disney California Adventure,$,$,No,Kiosk,2018
Jack-Jack's Cookie Num Nums,Pixar Pier,Disney California Adventure,$,$,Yes,Kiosk,2018
Lamplight Lounge Dining Room,Pixar Pier,Disney California Adventure,$$,$$,Yes,Table Service,2018
Lamplight Lounge- Boardwalk Dining,Pixar Pier,Disney California Adventure,,,Yes,Bar/Lounge,2018
Poultry Palace,Pixar Pier,Disney California Adventure,$,$,No,Kiosk,2018
Señor Buzz Churros,Pixar Pier,Disney California Adventure,$,$,Yes,Kiosk,2018
Aunt Cass Cafe,San Fransokyo Square,Disney California Adventure,,$,Yes,Quick Service,2023
Cappuccino Cart,San Fransokyo Square,Disney California Adventure,$,$,Yes,Kiosk,2001
Cocina Cucamonga Mexican Grill,San Fransokyo Square,Disney California Adventure,,$,Yes,Quick Service,2001
Ghirardelli Soda Fountain and Chocolate Shop,San Fransokyo Square,Disney California Adventure,$,$,Yes,Quick Service,2012
Lucky Fortune Cookery,San Fransokyo Square,Disney California Adventure,,$,Yes,Quick Service,2023
Port of San Fransokyo Cervecería,San Fransokyo Square,Disney California Adventure,,$,Yes,Quick Service,2023
Rita's Turbine Blenders,San Fransokyo Square,Disney California Adventure,$,$,Yes,Kiosk,2023
Bengal Barbecue,Adventureland,Disneyland Park,$,$,Yes,Quick Service,1992
Tiki Juice Bar,Adventureland,Disneyland Park,$,$,Yes,Kiosk,2021
Tropical Hideaway,Adventureland,Disneyland Park,$,$,Yes,Quick Service,2018
Tropical Imports,Adventureland,Disneyland Park,$,$,Yes,Quick Service,1967
Harbour Galley,Bayou Country,Disneyland Park,,$,Yes,Quick Service,2021
Hungry Bear Barbecue Jamboree,Bayou Country,Disneyland Park,,$$,Yes,Quick Service,2024
Edelweiss Snacks,Fantasyland,Disneyland Park,$,$,Yes,Kiosk,2009
Maurice's Treats,Fantasyland,Disneyland Park,$,$,Yes,Snack Cart,2013
Red Rose Taverne,Fantasyland,Disneyland Park,$,$,Yes,Quick Service,2017
Troubadour TavernUpdated,Fantasyland,Disneyland Park,$,$,Yes,Kiosk,1983
Golden Horseshoe,Frontierland,Disneyland Park,,$,No,Quick Service,1955
Rancho del Zocalo,Frontierland,Disneyland Park,,$,Yes,Quick Service,2001
River Belle Terrace,Frontierland,Disneyland Park,$,$$$,Yes,Table Service,1955
