Restaurant,Location,Theme Park
Pym Tasting Lab,Avengers Campus,Disney California Adventure
Pym Test Kitchen,Avengers Campus,Disney California Adventure
Shawarma PalaceUpdated,Avengers Campus,Disney California Adventure
Terran Treats,Avengers Campus,Disney California Adventure
Carthay Circle,Buena Vista Street,Disney California Adventure
Carthay Circle Lounge,Buena Vista Street,Disney California Adventure
Clarabelle's Hand-Scooped Ice Cream,Buena Vista Street,Disney California Adventure
"Fiddler, Fifer and Practical Cafe",Buena Vista Street,Disney California Adventure
Cozy Cones,Cars Land,Disney California Adventure
Fillmore's Taste-In,Cars Land,Disney California Adventure
Flo's V-8 Cafe,Cars Land,Disney California Adventure
Smokejumpers Grill,Grizzly Peak,Disney California Adventure
Award Wieners,Hollywood Land,Disney California Adventure
Fairfax Market (DCA),Hollywood Land,Disney California Adventure
Hollywood Lounge,Hollywood Land,Disney California Adventure
Schmoozies,Hollywood Land,Disney California Adventure
Studio Catering Co.,Hollywood Land,Disney California Adventure
Bayside Brews,Paradise Gardens Park,Disney California Adventure
Boardwalk Pizza and Pasta,Paradise Gardens Park,Disney California Adventure
Corn Dog Castle,Paradise Gardens Park,Disney California Adventure
Paradise Garden Grill,Paradise Gardens Park,Disney California Adventure
Magic Key Terrace,Performance Corridor,Disney California Adventure
Mendocino Terrace,Performance Corridor,Disney California Adventure
Sonoma Terrace,Performance Corridor,Disney California Adventure
Wine Country Trattoria,Performance Corridor,Disney California Adventure
Adorable Snowman Frosted Treats,Pixar Pier,Disney California Adventure
Angry Dogs,Pixar Pier,Disney California Adventure
Jack-Jack's Cookie Num Nums,Pixar Pier,Disney California Adventure
Lamplight Lounge Dining Room,Pixar Pier,Disney California Adventure
Lamplight Lounge- Boardwalk Dining,Pixar Pier,Disney California Adventure
Poultry Palace,Pixar Pier,Disney California Adventure
Señor Buzz Churros,Pixar Pier,Disney California Adventure
Aunt Cass Cafe,San Fransokyo Square,Disney California Adventure
Cappuccino Cart,San Fransokyo Square,Disney California Adventure
Cocina Cucamonga Mexican Grill,San Fransokyo Square,Disney California Adventure
Ghirardelli Soda Fountain and Chocolate Shop,San Fransokyo Square,Disney California Adventure
Lucky Fortune Cookery,San Fransokyo Square,Disney California Adventure
Port of San Fransokyo Cervecería,San Fransokyo Square,Disney California Adventure
Rita's Turbine Blenders,San Fransokyo Square,Disney California Adventure
Bengal Barbecue,Adventureland,Disneyland Park
Tiki Juice Bar,Adventureland,Disneyland Park
Tropical Hideaway,Adventureland,Disneyland Park
Tropical Imports,Adventureland,Disneyland Park
Harbour Galley,Bayou Country,Disneyland Park
Hungry Bear Barbecue Jamboree,Bayou Country,Disneyland Park
Edelweiss Snacks,Fantasyland,Disneyland Park
Maurice's Treats,Fantasyland,Disneyland Park
Red Rose Taverne,Fantasyland,Disneyland Park
Troubadour TavernUpdated,Fantasyland,Disneyland Park
Golden Horseshoe,Frontierland,Disneyland Park
Rancho del Zocalo,Frontierland,Disneyland Park
River Belle Terrace,Frontierland,Disneyland Park
Stage Door Cafe,Frontierland,Disneyland Park
Carnation Cafe,"Main Street, U.S.A.",Disneyland Park
Coca-Cola Refreshment Corner,"Main Street, U.S.A.",Disneyland Park
Gibson Girl Ice Cream Parlor,"Main Street, U.S.A.",Disneyland Park
Jolly Holiday Bakery Cafe,"Main Street, U.S.A.",Disneyland Park
Market House,"Main Street, U.S.A.",Disneyland Park
Plaza Inn,"Main Street, U.S.A.",Disneyland Park
Blue Bayou,New Orleans Square,Disneyland Park
Cafe Orleans,New Orleans Square,Disneyland Park
Mint Julep Bar,New Orleans Square,Disneyland Park
Royal Street Veranda,New Orleans Square,Disneyland Park
Tiana's Palace,New Orleans Square,Disneyland Park
Docking Bay 7 Food and Cargo,Star Wars: Galaxy's Edge,Disneyland Park
Kat Saka's Kettle,Star Wars: Galaxy's Edge,Disneyland Park
Milk Stand,Star Wars: Galaxy's Edge,Disneyland Park
Oga's Cantina DLR,Star Wars: Galaxy's Edge,Disneyland Park
Ronto Roasters,Star Wars: Galaxy's Edge,Disneyland Park
"Alien Pizza Planet - ""A Better Place""",Tomorrowland,Disneyland Park
Galactic Grill,Tomorrowland,Disneyland Park
Cafe Daisy,Toontown,Disneyland Park
Good Boy! Grocers,Toontown,Disneyland Park
Arthur & Sons Steak and Bourbon,Downtown Disney,Downtown Disney
Ballast Point,Downtown Disney,Downtown Disney
Beignets Expressed,Downtown Disney,Downtown Disney
Black Tap Craft Burgers and Shakes,Downtown Disney,Downtown Disney
Blue Ribbon Corn Dogs Disneyland,Downtown Disney,Downtown Disney
Céntrico,Downtown Disney,Downtown Disney
Clyde's Hot Chicken,Downtown Disney,Downtown Disney
Diggity Dogs,Downtown Disney,Downtown Disney
Din Tai Fung,Downtown Disney,Downtown Disney
Earl of Sandwich,Downtown Disney,Downtown Disney
Earl of Sandwich Tavern Restaurant & Bar,Downtown Disney,Downtown Disney
GG's Chicken Shop,Downtown Disney,Downtown Disney
Jamba,Downtown Disney,Downtown Disney
Jazz Kitchen Coastal Grill & Patio,Downtown Disney,Downtown Disney
Kayla's Cake,Downtown Disney,Downtown Disney
Naples,Downtown Disney,Downtown Disney
NapoliniUpdated,Downtown Disney,Downtown Disney
Paseo,Downtown Disney,Downtown Disney
Pearl’s Roadside BBQ,Downtown Disney,Downtown Disney
Salt & Straw DLRUpdated,Downtown Disney,Downtown Disney
Seoul Sister,Downtown Disney,Downtown Disney
Sip & Sonder,Downtown Disney,Downtown Disney
Splitsville Luxury Lanes,Downtown Disney,Downtown Disney
Starbucks Downtown Disney,Downtown Disney,Downtown Disney
Starbucks West Downtown Disney,Downtown Disney,Downtown Disney
The Carnaby Tavern,Downtown Disney,Downtown Disney
The Funnel Cakery,Downtown Disney,Downtown Disney
Tiendita,Downtown Disney,Downtown Disney
Tortilla Jo's,Downtown Disney,Downtown Disney
Vista Parkside Market,Downtown Disney,Downtown Disney
Wetzel's Pretzels,Downtown Disney,Downtown Disney
Disneyland Hotel In-Room Dining,Disneyland Hotel,Hotels
Goofy's KitchenUpdated,Disneyland Hotel,Hotels
Steakhouse 55,Disneyland Hotel,Hotels
Tangaroa Terrace Tropical Bar & Grill,Disneyland Hotel,Hotels
The Coffee House,Disneyland Hotel,Hotels
The Lounge,Disneyland Hotel,Hotels
Trader Sam's Enchanted Tiki Bar,Disneyland Hotel,Hotels
Great Maple,Disney's Pixar Place Hotel,Hotels
Sketch Pad Café,Disney's Pixar Place Hotel,Hotels
Small Bytes,Disney's Pixar Place Hotel,Hotels
GCH Craftsman Bar,Grand Californian,Hotels
GCH Craftsman GrillUpdated,Grand Californian,Hotels
